text,gpt_responses,scope3,vague
"We build loved brands that bring joy to our consumers’ lives with beverage choices for all occasions, tastes and lifestyles.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG
"Our growth strategy is grounded in our core values and commitment to social and environmental responsibility.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"This 2022 Business Sustainability Report is The Coca Cola Company’s fifth report to integrate overall business and sustainability performance, data and context, reflecting our continued journey toward driving sustainable business practices into our core strategy.
","{'scope3': 'no', 'vague': 'specific'}",no,specific
"Except as otherwise noted, this report covers the 2022 performance of The Coca Cola Company and the Coca Cola system (our company and our bottling partners), as applicable.
","{'scope3': 'no', 'vague': 'specific'}",no,specific
"As used in this report, the terms material, materiality, immaterial, substantive, significant and other similar terminology are not used, or intended to be construed, as they have been defined by or construed in accordance with the securities laws or any other laws of the United States or any other jurisdiction or as they are used in the context of financial statements and financial reporting.
","{'scope3': 'no', 'vague': 'ambiguous'}",no,ambiguous
"For detailed information on the scope of this report, please see About This Report on page 69.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"The Coca Cola Company’s purpose is to refresh the world and make a difference.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG
"We have remained true to that purpose for 137 years, and I am as encouraged today about the future of our business as I have ever been.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG
"It’s centered around people our consumers and employees and driving sustainable solutions that build resilience into our business to respond to current and future challenges, while creating positive change for the planet.
","{'scope3': 'no', 'vague': 'ambiguous'}",no,ambiguous
"As a total beverage company, we are committed to offering people more of the drinks they want across a range of categories and in a variety of sizes.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG
"In 2022, we launched 246 low or no sugar beverages and continued to see double digit growth for Coca Cola Zero Sugar, which is now available in more than 170 markets.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG
"This helped to drive our volume of low and no calorie beverage sales to 29% of total volume.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG
"We’re driving the most significant marketing transformation in our history, focused on digital first engagement with consumers.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG
"Coca Cola Creations: This global innovation platform lends the iconic Coca Cola brand to new expressions, driven by collaboration, creativity and cultural connection.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG
"Launched in 2022, we introduced five limited edition drinks that drew inspiration from music, gaming and culture.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG
"These were complemented with experimental packaging designs and various digital experiences.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG
"Sprite Limelight: A music and cultural extension of the brand’s global platform Heat Happens, Sprite Limelight aims to unite fans from different cultures and lifestyles by bringing together different artists from around the world.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG
"We’ve launched Jack Daniel’s Coca Cola as a ready to drink cocktail through a relationship with Brown Forman.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG
"This is one example of our ongoing journey to bring Coke to consumers in new and dynamic ways.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG
"We take the new responsibilities that come with our entry in this space very seriously.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG
"As a result, we’ve embedded our Global Policy on Alcohol Responsibility into our business processes to ensure we grow our alcohol brands in a responsible and sustainable way.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG
"Water: Water is a priority for our company because it is the first ingredient in all our beverages and is essential to the communities we serve.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"As a local business operating in more than 200 countries and territories, we have a responsibility to help protect critical resources.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"Our 2030 Water Security Strategy focuses on increasing water security.
","{'scope3': 'no', 'vague': 'ambiguous'}",no,ambiguous
"We work with partners to provide access to a steady supply of clean water for people and ecosystems in the areas where we operate and source ingredients.
","{'scope3': 'no', 'vague': 'specific'}",no,specific
"We recently announced a more focused effort to prioritize the most water stressed regions.
","{'scope3': 'no', 'vague': 'ambiguous'}",no,ambiguous
"As we’ve done since 2015, we’ll continue to replenish the water we use in our finished beverages to nature and communities.
","{'scope3': 'no', 'vague': 'specific'}",no,specific
"It’s centered around people our consumers and employees and driving sustainable solutions that build resilience into our business to respond to current and future challenges, while creating positive change for the planet.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"Packaging: We seek to drive a circular economy for our packaging because this helps to reduce waste and carbon emissions.
","{'scope3': 'no', 'vague': 'specific'}",no,specific
"We’re working to use more recycled content in our packaging, to expand our use of refillable bottles, and to collect packaging for recycling through our World Without Waste initiative.
","{'scope3': 'no', 'vague': 'specific'}",no,specific
"We also partner to design new solutions for packaging.
","{'scope3': 'no', 'vague': 'ambiguous'}",no,ambiguous
"For example, we licensed our technology for a 100% plant based plastic bottle to a company building a commercial scale facility in Germany.
","{'scope3': 'no', 'vague': 'specific'}",no,specific
"This bio based plastic packaging has a lower carbon footprint than other plastics.
","{'scope3': 'no', 'vague': 'specific'}",no,specific
"While we’re making progress, we know there is more work to be done.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"In 2022, we collected 61% of the equivalent bottles and cans that we introduced into the market and used 15% rPET in our bottles.
","{'scope3': 'yes', 'vague': 'specific'}",yes,specific
"To galvanize collective action, we invest in solutions and partnerships across industry, governments and society.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"In 2022, we became a Strategic Partner of the Ellen MacArthur Foundation.
","{'scope3': 'no', 'vague': 'specific'}",no,specific
"This group includes companies within key industry sectors that can help drive the transition to a circular economy.
","{'scope3': 'no', 'vague': 'ambiguous'}",no,ambiguous
"Climate: Our water, packaging and climate goals are interconnected.
","{'scope3': 'no', 'vague': 'ambiguous'}",no,ambiguous
"For example, by creating a circular economy for packaging, we can lower our carbon footprint.
","{'scope3': 'no', 'vague': 'ambiguous'}",no,ambiguous
"By approaching water stewardship from a basin perspective, we participate in initiatives that increase communities’ resilience to extreme weather events, alongside our partners.
","{'scope3': 'no', 'vague': 'ambiguous'}",no,ambiguous
"Our approach to climate is rooted in science, and we’ve set a science based target to reduce absolute greenhouse gas emissions by 25% by 2030, against a 2015 baseline.
","{'scope3': 'no', 'vague': 'specific'}",no,specific
"As of 2022, we have reduced our emissions by 7% against this baseline.
","{'scope3': 'no', 'vague': 'specific'}",no,specific
"We’re committed to creating a culture of inclusion and belonging and to driving meaningful change in our communities.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG
"By 2030, we aspire to be 50% led by women globally.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG
"The Coca Cola Foundation, the philanthropic arm of The Coca Cola Company, contributed 94.8 million to 301 organizations around the world in 2022 to help create a better shared future for the communities our business serves.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG
"Our continued success would not be possible without our people.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG
"I am grateful for the company and system employees who live our purpose every day.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG
"Their collective passion and focus to build loved brands and make a difference in the world is how our business will continue to thrive for generations to come.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG
"Our Board of Directors is proud of our company’s ongoing success.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG
"As the business continues to grow and evolve, our Board also continues to evolve.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG
"Through our Board refreshment efforts, we strive to maintain a balance of skills, tenure and diversity among our Directors.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG
"I am extremely proud that in 2022 we achieved gender parity in the composition of our Board.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG
"And as this report demonstrates, our actions and our business success remain grounded in our strong values and purpose: to refresh the world and make a difference.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG
"Chairman and Chief Executive Officer, Judd Enterprises, Inc.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG
"Chairman and Senior Executive, IAC Inc. and Expedia Group, Inc.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG
"Note: Board composition and committee positions reflected as of April 25, 2023.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG
"Ms. Millhiser will join the Board on July 1, 2023 after her retirement from her current role, at which time she will join the Audit Committee.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG
"We focus on the highest priority sustainability issues facing our company, stakeholders and communities, with the goal of maximizing collective impact.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"These issues, which we review on a regular basis in collaboration with leading NGO partners, are integrated into both our business strategy and system wide operations to simultaneously build resilience and drive growth.
","{'scope3': 'no', 'vague': 'ambiguous'}",no,ambiguous
"They also inform our ambitious sustainability goals and how we report on progress against these interconnected goals.
","{'scope3': 'no', 'vague': 'ambiguous'}",no,ambiguous
"Align U.S. race ethnicity representation to U.S. census data across all job levels.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG
"Water is a priority for The Coca Cola Company because it is essential to life, our beverages and the communities we serve.
","{'scope3': 'no', 'vague': 'specific'}",no,specific
"That means we have a responsibility to help those who face water scarcity and to protect local water resources where we operate, especially in places with the biggest challenges.
","{'scope3': 'no', 'vague': 'ambiguous'}",no,ambiguous
"Our 2030 Water Security Strategy is focused on accelerating the actions needed to increase water security where we operate, source ingredients and touch people’s lives.
","{'scope3': 'no', 'vague': 'specific'}",no,specific
"We do that by contributing toward sustainable, clean water access that improves livelihoods and wellbeing while protecting against water related disasters.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG
"We understand water challenges are different in each region, so we are focused on doing what matters most locally, where the challenges are greatest.
","{'scope3': 'no', 'vague': 'ambiguous'}",no,ambiguous
"Achieve 100% regenerative water use across 175 of our facilities, identified as facing high levels of water stress by 2030.
","{'scope3': 'no', 'vague': 'specific'}",no,specific
"Improve the health of 60 watersheds identified as most critical for our operations and agricultural supply chain by 2030.
","{'scope3': 'no', 'vague': 'specific'}",no,specific
"Return a cumulative total of 2 trillion liters of water to nature and communities globally over the life of our strategy, between 2021 2030.
","{'scope3': 'no', 'vague': 'specific'}",no,specific
"We have exceeded our 100% replenishment goal every year since 2015.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG
"As a total beverage company, we are committed to offering people more of the drink choices they want across a range of categories and in a variety of packages.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG
"Evolving consumer tastes and preferences help steer our business strategy and shape the lineup of beverages we bring to market.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG
