text,gpt_responses,scope3,vague
"Love for smashing aces on the court, drilling crosses on the pitch, parrying strikes on the piste, running circles around the boys.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG
"Love for the big moments and bright lights, but also the solo sessions, the hard days, the grind.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG
"That passion is what drives you to break records and win championships.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG
"It’s also what leads you to realize: this journey is bigger than you.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG
"Because let’s be real as women and as athletes, so much of this wasn’t built for us.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG
"Not the institution of sport, and not the system and structure of society.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG
"As athletes and as women, our only playbook has been to be the change we want to see.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG
"A Black girl from Compton who doesn’t fit the sport Don’t just break the mold.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG
"Change the sport on your way to changing everything.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG
"A champion becoming the world’s fastest mother Nurture what’s next and redefine the meaning of legacy.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG
"A soccer player claiming her space with every play Build a platform to fight for everyone to win.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG
"A trailblazer on the court who inspires a nation Show every girl watching: no dream is out of reach.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG
"A fencer facing odds others call impossible Prove what’s possible when you begin with belief.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG
"A footballer writing history on the world stage Shine a light for the next generation.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG
"In our whole careers, in our whole lives, we haven’t waited on change.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG
"And when it comes to the biggest challenges of our time, that is the spirit we want to bring.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG
"Whether it’s advancing equity for women and girls, fighting climate change or uplifting our communities, we can’t just wait.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"We all have a part to play in creating a better world, and that’s why it means so much to share this journey with NIKE, and with all of you.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG
"Moving the world forward doesn’t happen overnight.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG
"As women and as athletes, we’ve pushed to be seen and heard.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG
"We’ve raised our voices to help drive that change, and NIKE, you’ve been there to listen and evolve with us.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG
"More than anything, what our journey has shown is that real innovation and lasting impact happens when we create a new playbook together one built on engaging more deeply, championing women more meaningfully and expanding opportunity for generations to come.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG
"So, to the changemakers out there: No matter where your journey takes you, our wish for you is to hold on to why you started.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG
"We see you, we hear you, we believe in the fire you have inside you.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG
"Our purpose is to move the world forward through the power of sport.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG
"If you’re reading this letter, it’s because you understand the power of sport.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG
"You know that sport changes the way we see ourselves, and the way we see the world.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG
"Sport connects us with a shared language the joy of a run, the thrill of a game, the power of movement, the calm of a deep breath.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG
"Sport builds community, opens minds, and changes hearts.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG
"To me, that’s what NIKE’s potential for impact is all about.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG
"NIKE’s mission is to bring inspiration and innovation to every athlete in the world.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG
"Our purpose is to move the world forward through the power of sport.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG
"And in the face of society’s most pressing challenges, our belief is that sport can bring us together to change the world for the better.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG
"More than 50 years ago, the passage of Title IX in the United States opened doors of opportunity for women and girls through sport.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG
"Within the same week, a small startup in Oregon would introduce its running shoes at the U.S. Olympic Track and Field Trials.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG
"And from the beginning, NIKE would define the word athlete through the lens of equality: If you have a body, you are an athlete.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG
"The way we see it, sport has always been one of society’s most powerful catalysts for change.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG
"And over the years, what we’ve learned has moved NIKE forward, too.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG
"Our inspiration comes in many forms, and from many voices.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG
"The teammates who help shape a more equal and inclusive culture.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG
"The coaches and community leaders who step up to expand access to youth sport.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG
"The innovators who help protect our planet, and the future of sport.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"The athletes who stand up, speak out, and push us to grow.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG
"We grow not just to serve today’s athletes, but also for the next generation the next Shelly Ann, Ada, Li Na, Megan, Bebe, and Serena.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG
"And just like the athletes we serve, we’ll keep pushing to realize our full potential.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"NIKE has long challenged itself to share its journey with humility and transparency.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG
"When I think about how NIKE leads with purpose, two words that come to mind are boldness and humility.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG
"NIKE has never been shy about setting bold, ambitious goals to create a better world through sport.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG
"Equally, NIKE has long challenged itself to share its journey with humility and transparency.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG
"More than twenty years ago, the NIKE, Inc. Board of Directors first established a committee tasked with overseeing matters related to environmental and sustainability initiatives, labor practices, diversity and equal opportunity, and other issues related to corporate responsibility.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
