text,llm_responses,scope3,vague
"This report contains links to websites that are not operated by The Walt Disney Company.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"The website owner’s Terms of Use and Privacy Policy will apply.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG
"At The Walt Disney Company, our mission is to entertain, inform, and inspire people around the globe through the power of unparalleled storytelling, reflecting the iconic brands, creative minds, and innovative technologies that make ours the world’s premier entertainment company.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"Since our founding nearly 100 years ago, storytelling has fueled our Company, and contributing positively to our communities has been integral to how we operate.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"This report shares our track record and ongoing efforts to make the world better for individuals, families, and communities through our stories, experiences, operations, and philanthropy.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"We inspire a world of belonging by embracing stories and storytellers who reflect the life experiences of people from across the globe.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"In fiscal 2022, we released award winning and critically acclaimed films and shows that respect and celebrate different communities, such as Encanto, Abbott Elementary, Prey, Turning Red, Reservation Dogs, and Ms. Marvel, among others.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"We also continue to make progress toward a workforce reflective of the audiences and guests we serve.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"This past year we continued to invest in programs like Disney’s Veterans Institute, Disney on the Yard, Women’s Talent Network, and Black Talent Network, to help attract and develop a more diverse workforce at all levels.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"We also celebrated the 10th anniversary of our Heroes Work Here program, which has resulted in more than 12,500 veterans being hired across the Company through the end of 2022.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG
"And we launched Disney Future Storytellers to increase access to careers in media, entertainment, technology, and hospitality.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"Additionally, more than 140 million of our charitable giving was directed to programs serving underrepresented communities.
","{'scope3': 'no', 'vague': 'specific'}",no,specific
"We encourage a world in balance by lowering the environmental impact of our operations and investing in wildlife care and conservation.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"This past year we launched the Disney Wish, designed to be among the most energy efficient cruise ships on the water.
","{'scope3': 'no', 'vague': 'specific'}",no,specific
"We also continued to reduce the environmental impact of our productions and received 58 Green Seals and 38 Gold Seals from the Environmental Media Association.
","{'scope3': 'no', 'vague': 'specific'}",no,specific
"In December 2022, we updated our emission reduction goals to include our broader value chain and we plan to submit our goals to the Science Based Targets initiative for validation.
","{'scope3': 'yes', 'vague': 'ambiguous'}",yes,ambiguous
"And our Disney Conservation Fund contributed nearly 6.7 million in grants to more than 60 nonprofit organizations across 32 countries.
","{'scope3': 'no', 'vague': 'specific'}",no,specific
"We support a world of hope and deliver joy, comfort, and peace of mind to our communities when they’re needed most through our charitable giving, which totaled approximately 233 million in fiscal 2022.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"We have now invested more than 75 million in our 100 million hospital initiative to bring the positive power of Disney stories and characters to more than 700 children’s hospitals and pediatric places of care around the world.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"We also continue to grant thousands of wishes annually to children facing critical illness.
","{'scope3': 'no', 'vague': 'not relevant to ESG'}",no,not relevant to ESG
"Our success, however, is defined not by our efforts, but by the actual good we do for the communities we serve.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"True community engagement is about more than writing a check.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"Through our Disney VoluntEARS program, our employees and cast members worldwide have collectively contributed nearly 13 million hours of service to their communities since the program was started nearly 40 years ago.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
