text,llm_responses,scope3,vague
"As the leading global foodservice retailer, we believe it’s our responsibility to make a positive impact on the world.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"The actions we continue to take today across our food, people, communities and our planet will help contribute to building a better business and a more trusted brand for generations to come.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"One of these actions is reporting on our environmental and social activities.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"McDonald’s is the global leading foodservice retailer, with more than 40,000 locations in over 100 countries helping feed millions of customers every day.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"Our System works as one to feed and foster the communities we serve.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"Whether we are helping deliver more sustainable food systems or building an inclusive workplace, we believe there has never been a more important moment to work together to advance collective impact.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"We’re acting now to deliver on our climate ambitions, protect natural resources, accelerate solutions to reduce waste and transition to more sustainable packaging and toy materials.
","{'scope3': 'generic', 'vague': 'ambiguous'}",generic,ambiguous
"We’re working toward creating a secure, more sustainable future for food by advancing safety and quality, prioritizing animal health and welfare and making balanced meals more accessible to families across the world.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"We’re helping build bright, safe and inclusive futures by nurturing skills, accelerating equity and respecting human rights, empowering the people and the communities we serve.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"We understand our business thrives when our communities thrive, so we think globally and act locally, helping feed and support people when and where they need it most.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"As I reflect on last year, I continue to be impressed by our System’s ability to support and uplift communities.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"This past year remained challenging in many parts of the world.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"The humanitarian crisis caused by the war in Ukraine continued, a devastating earthquake struck Turkey, and we’ve seen markets like France experience profound periods of unrest.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"At the same time, we continued adapting to a new post pandemic world.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"During these moments and more, I’m reminded that McDonald’s unparalleled size and scale uniquely enables us to show up, and how important it is for us to continue delivering on our purpose of feeding and fostering communities.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"At McDonald’s, we’re listening to our customers to evolve our offerings, while maintaining the same taste they know and love.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"I’m particularly proud of the work that’s gone into the evolution of our Happy Meal Offerings, and how our markets are promoting more balanced choices for families than ever before.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"Over the last five years, we made significant progress toward five Happy Meal Nutrition Goals that we set in 2018 in 20 of our major markets.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"Despite the changes and challenges our business encountered over the last few years, our entire System remained committed to these goals.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"As we look forward, we will share learnings across markets and assess new opportunities to build on our progress.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"We strive to leverage our entire System to grow our impact across communities, help protect our planet and make a difference in the lives of people around the world.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"As a leading global brand, we’ve embraced the opportunity to take action to respond to climate change, and we continue to make progress toward net zero emissions globally by 2050.
","{'scope3': 'yes', 'vague': 'generic'}",yes,generic
"McDonald’s has a unique connection with communities around the world, and we believe that comes with a responsibility to support people and their local communities.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"We are working with our suppliers to scale practices that make agriculture not just more sustainable, but also regenerative.
","{'scope3': 'yes', 'vague': 'ambiguous'}",yes,ambiguous
"It’s not enough to just do less damage to our planet.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"That’s why we remain focused on driving climate action, helping to protect natural resources, reducing waste and transitioning to more sustainable packaging.
","{'scope3': 'generic', 'vague': 'ambiguous'}",generic,ambiguous
"Guided by our values, we’re focused on creating inclusive workplaces and restaurants.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"At the end of 2022, U.S. systemwide spend with diverse owned suppliers was 25.0%, resulting in McDonald’s reaching its diverse owned supplier spend goal for the second year in a row.
","{'scope3': 'no', 'vague': 'specific'}",no,specific
"We also continued implementation of our Global Brand Standards to promote even safer workplaces across our restaurants.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"We know that a diverse workforce is critical to McDonald’s success, which is why we’re committed to providing training, education benefits and career paths that empower people and create opportunities in the communities we serve.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"As a System, we’ve been able to make a huge impact in support of Ronald McDonald’s House Charities’ (RMHC) mission.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
