text,llm_responses,scope3,vague
"Love for smashing aces on the court, drilling crosses on the pitch, parrying strikes on the piste, running circles around the boys.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"Love for the big moments and bright lights, but also the solo sessions, the hard days, the grind.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"That passion is what drives you to break records and win championships.
","{'scope3': 'no', 'vague': 'not relevant to ESG'}",no,not relevant to ESG
"It’s also what leads you to realize: this journey is bigger than you.
","{'scope3': 'no', 'vague': 'not related to ESG'}",no,not related to ESG
"Because let’s be real as women and as athletes, so much of this wasn’t built for us.
","{'scope3': 'no', 'vague': 'not related to ESG'}",no,not related to ESG
"Not the institution of sport, and not the system and structure of society.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"As athletes and as women, our only playbook has been to be the change we want to see.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"A Black girl from Compton who doesn’t fit the sport Don’t just break the mold.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"Change the sport on your way to changing everything.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"A champion becoming the world’s fastest mother Nurture what’s next and redefine the meaning of legacy.
","{'scope3': 'no', 'vague': 'not relevant to ESG'}",no,not relevant to ESG
"A soccer player claiming her space with every play Build a platform to fight for everyone to win.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG
"A trailblazer on the court who inspires a nation Show every girl watching: no dream is out of reach.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG
"A fencer facing odds others call impossible Prove what’s possible when you begin with belief.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"A footballer writing history on the world stage Shine a light for the next generation.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"In our whole careers, in our whole lives, we haven’t waited on change.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"And when it comes to the biggest challenges of our time, that is the spirit we want to bring.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"Whether it’s advancing equity for women and girls, fighting climate change or uplifting our communities, we can’t just wait.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"We all have a part to play in creating a better world, and that’s why it means so much to share this journey with NIKE, and with all of you.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"Moving the world forward doesn’t happen overnight.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"As women and as athletes, we’ve pushed to be seen and heard.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG
"We’ve raised our voices to help drive that change, and NIKE, you’ve been there to listen and evolve with us.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"More than anything, what our journey has shown is that real innovation and lasting impact happens when we create a new playbook together one built on engaging more deeply, championing women more meaningfully and expanding opportunity for generations to come.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"So, to the changemakers out there: No matter where your journey takes you, our wish for you is to hold on to why you started.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG
"We see you, we hear you, we believe in the fire you have inside you.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"Our purpose is to move the world forward through the power of sport.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"If you’re reading this letter, it’s because you understand the power of sport.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG
"You know that sport changes the way we see ourselves, and the way we see the world.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"Sport connects us with a shared language the joy of a run, the thrill of a game, the power of movement, the calm of a deep breath.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"Sport builds community, opens minds, and changes hearts.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"To me, that’s what NIKE’s potential for impact is all about.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"NIKE’s mission is to bring inspiration and innovation to every athlete in the world.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"Our purpose is to move the world forward through the power of sport.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"And in the face of society’s most pressing challenges, our belief is that sport can bring us together to change the world for the better.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"More than 50 years ago, the passage of Title IX in the United States opened doors of opportunity for women and girls through sport.
","{'scope3': 'no', 'vague': 'not ESG related'}",no,not ESG related
"Within the same week, a small startup in Oregon would introduce its running shoes at the U.S. Olympic Track and Field Trials.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"And from the beginning, NIKE would define the word athlete through the lens of equality: If you have a body, you are an athlete.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"The way we see it, sport has always been one of society’s most powerful catalysts for change.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"And over the years, what we’ve learned has moved NIKE forward, too.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"Our inspiration comes in many forms, and from many voices.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"The teammates who help shape a more equal and inclusive culture.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"The coaches and community leaders who step up to expand access to youth sport.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"The innovators who help protect our planet, and the future of sport.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"The athletes who stand up, speak out, and push us to grow.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"We grow not just to serve today’s athletes, but also for the next generation the next Shelly Ann, Ada, Li Na, Megan, Bebe, and Serena.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"And just like the athletes we serve, we’ll keep pushing to realize our full potential.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"NIKE has long challenged itself to share its journey with humility and transparency.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"When I think about how NIKE leads with purpose, two words that come to mind are boldness and humility.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"NIKE has never been shy about setting bold, ambitious goals to create a better world through sport.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"Equally, NIKE has long challenged itself to share its journey with humility and transparency.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"More than twenty years ago, the NIKE, Inc. Board of Directors first established a committee tasked with overseeing matters related to environmental and sustainability initiatives, labor practices, diversity and equal opportunity, and other issues related to corporate responsibility.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"Since then, NIKE’s commitment to corporate purpose has only deepened and grown building on the continuing commitment to strong governance, sustainable growth and responsible leadership.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"Today, the Board’s Corporate Responsibility, Sustainability Governance Committee oversees NIKE’s corporate governance, as well as the risks and opportunities associated with NIKE’s three Purpose pillars People, Planet, and Play.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"As a committee, our responsibilities include monitoring NIKE’s progress against its five year Purpose targets and long term sustainability goals providing oversight of significant Purpose related strategies, activities, policies, investments and programs and reviewing and providing guidance to management regarding the development of this annual Impact Report.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"Purpose is embedded in NIKE’s DNA, and continues to guide NIKE’s growth.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"On behalf of the NIKE, Inc. Board, we are pleased to share this FY22 NIKE Impact Report.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"This year s report represents the second year of performance toward our 2025 targets.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"Our Targets In 2005, NIKE published its first set of five year Purpose targets, and we have stayed committed to this practice ever since.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"Today, we have a set of 29 ambitious corporate targets for the period from FY20 to FY25, focused on our Purpose across People, Planet and Play.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"These targets represent our multi year commitment to drive impact, meet stakeholder expectations and align with NIKE’s business priorities.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"About This Report This year’s report represents the second year of performance toward our 2025 targets.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"For each target, our report provides context on our goal and approach, details the initiatives underway to reach the target and updates on the results of our efforts.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"This includes reflecting on what areas of work have proven challenging, and sharing what plans we intend to pursue to address those areas in the future.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"Throughout the report, we have included spotlights on the employees and athletes helping drive this work around the world, recognizing the people and stories behind our progress.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"The final two sections of the report provide details on reporting methodology, Purpose governance, report assurance and data tables to provide additional transparency.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"We know that success will not be linear, but accountability in this space means sharing our achievements and learning from our challenges openly we are proud to do so in our FY22 Impact Report.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"When we set our 2025 targets, we did so with the ambition that they be bold but attainable and measurable.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"Approaching the work with an athlete’s mindset, our targets are meant to push us to the edges of what we can achieve and in doing so, progress our enterprise meaningfully.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"Simply put, if we are easily crossing every finish line, then we need a race that is more challenging.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"We work toward progress through strategic planning, piloting innovations, implementing solutions at scale and sharing best practices with our partners.
","{'scope3': 'yes', 'vague': 'generic'}",yes,generic
"There’s an inclusive, welcoming place to play just around the corner.
","{'scope3': 'no', 'vague': 'not relevant to ESG'}",no,not relevant to ESG
"We have engaged 375k girls in local play and sport programs this year.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"Your favorite college track star shares that she can train at any time of day without worries of excessive heat.
","{'scope3': 'no', 'vague': 'not relevant to ESG'}",no,not relevant to ESG
"Since 2020, we’ve reduced Scope 1 and 2 emissions by 64% through multiple avenues including 93% renewable electricity.
","{'scope3': 'no', 'vague': 'specific'}",no,specific
"We’re well on our way to the world we want to see.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"It’s a place where women and girls have a voice, inspire as athletes and serve as proud protectors of their planet.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"It’s a world where everyone in our next generation sees a brighter future.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"An inspiring female coach encourages a young trans athlete to join the team.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"In FY22, we supported 17k coaches with our training tools.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"A colleague’s promotion confirms your own path is just as possible as hers.
","{'scope3': 'no', 'vague': 'not ESG related'}",no,not ESG related
"Her mentorship and support of you has made all the difference.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"A world where waste is transformed into something new.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"Sebastian Coe Building NIKE World Headquarters, Beaverton, OR.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"The information in this report and NIKE, Inc.’s corporate responsibility sustainability reporting and website, inclusive of charts, graphs and discussion, and all other information presented, may contain forward looking statements, estimates, or projections based on expectations as of the original date of those materials.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"Those statements, estimates and projections are not guarantees of future results or performance and are subject to certain known and unknown risks and uncertainties that are difficult to predict, are often beyond our control and could cause actual results to differ materially.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"These risks and uncertainties are detailed in our reports filed with the U.S. Securities and Exchange Commission (the SEC ), including our Annual Report on Form 10 K. Presented information may also discuss previously non public financial and statistical information.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG
"Our approach to the disclosures included in this report and NIKE, Inc.’s corporate responsibility sustainability reporting and website differs from our approach to the disclosures we include in our mandatory regulatory reports, including our filings with the SEC.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"This report and our corporate responsibility sustainability reporting and website are intended to provide information from a different perspective and, in certain cases, in more detail than that required to be included in our filings with the SEC.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"Climate related science, data and methodologies are rapidly evolving those underlying our climate related analysis and strategy remain subject to evolution over time.
","{'scope3': 'no', 'vague': 'ambiguous'}",no,ambiguous
"For example, we believe the methodology of carbon accounting will continue to improve over time, especially as it relates to Scope 3 GHG emissions.
","{'scope3': 'yes', 'vague': 'ambiguous'}",yes,ambiguous
"As a result of improvements to the quality and completeness of our data and updates to our methodology over time, we may include information in future disclosures that differ from those contained in this report.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"Unless otherwise specified, all information (including forward looking information) speaks only as of the date on which it is made, and we disclaim any obligation to update or delete any outdated information contained in this report or in our website materials.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG
"We have not, and do not intend to, independently verify third party data.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"Actual results and outcomes may differ from those expressed in or implied in this report due to, among other factors, any applicable legal requirements and or industry standards, in providing such data.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"While none of the strategic suppliers reached a mature level of gender equity in FY21, more than 95% of suppliers met our FY21 milestone to deploy and validate the SDT, develop an action plan and implement actions.
","{'scope3': 'no', 'vague': 'specific'}",no,specific
