text,llm_responses,scope3,vague
"ExxonMobil is one of the world’s largest publicly traded energy and chemical companies.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"We develop and apply next generation technologies to help safely and responsibly meet the world’s growing needs for reliable and affordable energy and high quality products.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"We remain focused on building a diverse workforce and productive work environment where individual and cultural differences are respected, where every individual is challenged to deliver their best and has the opportunity for unrivaled personal and professional development.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"At ExxonMobil, we are committed to improving quality of life by meeting the critical needs of society.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"That is what we have done throughout our history as the world evolves, so do we.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"We are constantly working to meet the changing needs of our customers and stakeholders.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"This ability to adapt has been the key to creating long term shareholder value and will be critical to continued success in the years to come.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"As we move forward, we will remain focused on five strategic priorities.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"First, leading industry across the metrics that are the foundation of success safety, reliability, environmental performance, earnings and cash flow growth and ultimately shareholder returns.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"Second, being a valued, essential partner through the creation of win win solutions for our customers, partners and broader stakeholders.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"Third, building on our advantaged portfolio, continuously upgrading it to ensure it leads competition and delivers value across a range of external environments and through volatile and evolving markets.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"We are providing solutions that meet the growing needs of society reliably and affordably.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"This means new products, technologies and approaches that better meet the needs of today and tomorrow.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"These solutions need to be deployed at scale to create meaningful impact.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"This requires that we fully leverage all of our competitive advantages the most important of which, is of course, our people.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"Continually developing our people and maintaining a strong culture is a core strategic priority and essential to achieving our long term objectives.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"To deliver on these priorities, and fully leverage our competitive advantages we continue to evolve our business model and change the way we work and are organized.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"We are organized along three business lines ExxonMobil Upstream Company, ExxonMobil Product Solutions and ExxonMobil Low Carbon Solutions.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"These business lines are supported by a single technology organization, ExxonMobil Technology and Engineering, and other centralized service delivery groups including Global Operations and Sustainability.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"More information on our business divisions and operations can be found on our Business Divisions page.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"We strive for a diverse workforce and productive work environment where individual and cultural differences are respected and valued.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"We challenge our people to contribute fully, demonstrate courage of conviction and adhere to the highest standards of excellence and integrity.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"We embrace learning, flexibility and innovation to meet society’s evolving needs and outperform competition.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"We take pride in being part of ExxonMobil, where we work hard, have fun and live our values.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"ExxonMobil Sustainability Report Our approach In 2002, our first sustainability report summarized energy research, environmental stewardship, safety and health performance, community engagement and workforce development and diversity.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"We have continued to expand our portfolio to help meet energy demand while addressing potential impacts to the environment and society.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"We have improved our sustainability disclosures to increase transparency and strengthen relationships with stakeholders.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"In this report, we highlight our Sustainability Focus Areas and how we aim to help protect the environment and meet the needs of modern society.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"Our talented and dedicated workforce forms the cornerstone of our approach to sustainability: Protect Tomorrow.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"ExxonMobil works to create sustainable solutions that improve quality of life and meet society’s evolving needs.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"We intend to do this in ways that help protect people, the environment and the communities where we operate.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
