text,gpt_responses,scope3,vague,file_name,responses,scope3_new
"This report contains links to websites that are not operated by The Walt Disney Company.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG,NYSE_DIS_2022_results.csv,"No, the sentence is not discussing scope 3 emissions.",no
"The website owner’s Terms of Use and Privacy Policy will apply.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG,NYSE_DIS_2022_results.csv,"No, the sentence is not discussing scope 3 emissions.",no
"At The Walt Disney Company, our mission is to entertain, inform, and inspire people around the globe through the power of unparalleled storytelling, reflecting the iconic brands, creative minds, and innovative technologies that make ours the world’s premier entertainment company.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG,NYSE_DIS_2022_results.csv,"No, the sentence is not discussing scope 3 emissions.",no
"Since our founding nearly 100 years ago, storytelling has fueled our Company, and contributing positively to our communities has been integral to how we operate.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG,NYSE_DIS_2022_results.csv,The sentence is not discussing scope 3 emissions.,no
"This report shares our track record and ongoing efforts to make the world better for individuals, families, and communities through our stories, experiences, operations, and philanthropy.
","{'scope3': 'no', 'vague': 'generic'}",no,generic,NYSE_DIS_2022_results.csv,"No, the sentence is not discussing any specific category of scope 3 emissions.",no
"We inspire a world of belonging by embracing stories and storytellers who reflect the life experiences of people from across the globe.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG,NYSE_DIS_2022_results.csv,"No, the sentence is not discussing scope 3 emissions.",no
"In fiscal 2022, we released award winning and critically acclaimed films and shows that respect and celebrate different communities, such as Encanto, Abbott Elementary, Prey, Turning Red, Reservation Dogs, and Ms. Marvel, among others.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG,NYSE_DIS_2022_results.csv,"No, the sentence is not discussing scope 3 emissions.",no
"We also continue to make progress toward a workforce reflective of the audiences and guests we serve.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG,NYSE_DIS_2022_results.csv,"No, the sentence is not discussing scope 3 emissions.",no
"This past year we continued to invest in programs like Disney’s Veterans Institute, Disney on the Yard, Women’s Talent Network, and Black Talent Network, to help attract and develop a more diverse workforce at all levels.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG,NYSE_DIS_2022_results.csv,"No, the sentence is not discussing scope 3 emissions.",no
"We also celebrated the 10th anniversary of our Heroes Work Here program, which has resulted in more than 12,500 veterans being hired across the Company through the end of 2022.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG,NYSE_DIS_2022_results.csv,"No, the sentence is not discussing scope 3 emissions.",no
