text,llm_responses,scope3,vague,file_name,model_name
"Business Impact Report Databook This Databook contains our SASB, UN SDGs and GRI indices, our Leap Ambition and Sustainability data charts, and our TCFD report.
","{'scope3': 'no', 'vague': 'specific'}",no,specific,NYSE_DE_baseline.csv,Mistral-7B-Instruct-v0.2
"Supplemental Content This Supplemental Content includes additional evergreen sustainability content.
","{'scope3': 'no', 'vague': 'generic'}",no,generic,NYSE_DE_baseline.csv,Mistral-7B-Instruct-v0.2
"Operating Return on Sales (OROS), and Shareholder Value Added (SVA) are non GAAP (general accepted accounting principles) measures.
","{'scope3': 'no', 'vague': 'generic'}",no,generic,NYSE_DE_baseline.csv,Mistral-7B-Instruct-v0.2
"For reconciliations of OROS to the most directly comparable GAAP measure (net income attributable to Deere Company), and for more information on SVA and reconciliations of SVA, see page 10.
","{'scope3': 'no', 'vague': 'generic'}",no,generic,NYSE_DE_baseline.csv,Mistral-7B-Instruct-v0.2
"John Deere had an outstanding year in 2023, delivering strong performance and making a signi cant positive impact on those we serve.
","{'scope3': 'no', 'vague': 'generic'}",no,generic,NYSE_DE_baseline.csv,Mistral-7B-Instruct-v0.2
"In this inaugural Business Impact Report, we are proud to share the nancial and sustainable outcomes accomplished by John Deere this year.
","{'scope3': 'no', 'vague': 'generic'}",no,generic,NYSE_DE_baseline.csv,Mistral-7B-Instruct-v0.2
"This comprehensive report highlights our dedication to creating long term value for all stakeholders.
","{'scope3': 'no', 'vague': 'generic'}",no,generic,NYSE_DE_baseline.csv,Mistral-7B-Instruct-v0.2
"Our net income reached a notable 10.17 billion, surpassing the previous year’s 7.13 billion.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG,NYSE_DE_baseline.csv,Mistral-7B-Instruct-v0.2
"Our net sales and revenues experienced a 16% increase, totaling 61.25 billion.
","{'scope3': 'no', 'vague': 'generic'}",no,generic,NYSE_DE_baseline.csv,Mistral-7B-Instruct-v0.2
"And our pro tability reached impressive levels, a signi cant milestone for two key reasons.
","{'scope3': 'no', 'vague': 'generic'}",no,generic,NYSE_DE_baseline.csv,Mistral-7B-Instruct-v0.2
"First, this success was achieved despite ongoing in ationary pressures.
","{'scope3': 'no', 'vague': 'generic'}",no,generic,NYSE_DE_baseline.csv,Mistral-7B-Instruct-v0.2
"Second, it is critical in enabling us to continue investing in the next generation of solutions for our customers.
","{'scope3': 'no', 'vague': 'generic'}",no,generic,NYSE_DE_baseline.csv,Mistral-7B-Instruct-v0.2
"We also generated signi cant cash ow which, in addition to investing in our business, we returned to shareholders through share repurchases of over 7 billion while simultaneously increasing the quarterly dividend by nearly 20%.
","{'scope3': 'no', 'vague': 'generic'}",no,generic,NYSE_DE_baseline.csv,Mistral-7B-Instruct-v0.2
"We made strategic investments that advanced our Smart Industrial Operating Model and reinforced the achievement of our Leap Ambitions.
","{'scope3': 'no', 'vague': 'generic'}",no,generic,NYSE_DE_baseline.csv,Mistral-7B-Instruct-v0.2
"These ambitious goals focus on delivering exceptional nancial and sustainable outcomes for our customers and all stakeholders, creating lasting value while also making a meaningful difference throughout the world.
","{'scope3': 'no', 'vague': 'generic'}",no,generic,NYSE_DE_baseline.csv,Mistral-7B-Instruct-v0.2
"For instance, in our Ag Turf Division we launched a groundbreaking planting technology called ExactShot that reduces the amount of starter fertilizer needed during planting by more than 60%.
","{'scope3': 'no', 'vague': 'specific'}",no,specific,NYSE_DE_baseline.csv,Mistral-7B-Instruct-v0.2
"We also made our advanced camera detection and arti cial intelligence systems from our revolutionary See Spray platform available as a precision upgrade for previous generation sprayers, reducing herbicide use, lowering costs, and minimizing impact on crops and the land.
","{'scope3': 'no', 'vague': 'specific'}",no,specific,NYSE_DE_baseline.csv,Mistral-7B-Instruct-v0.2
"And we extended our smarter spraying capabilities by acquiring Smart Apply, an intelligent spray control system that enhances the precision and performance of air blast sprayers used in orchards, vineyards, and tree nurseries.
","{'scope3': 'no', 'vague': 'generic'}",no,generic,NYSE_DE_baseline.csv,Mistral-7B-Instruct-v0.2
"Our Leap Ambitions focus on delivering exceptional nancial and sustainable outcomes for our customers and all stakeholders, creating lasting value while also making a meaningful difference throughout the world.
","{'scope3': 'no', 'vague': 'generic'}",no,generic,NYSE_DE_baseline.csv,Mistral-7B-Instruct-v0.2
"For instance, in our Ag Turf Division we launched a groundbreaking planting technology called ExactShot that reduces the amount of starter fertilizer needed during planting by more than 60%.
","{'scope3': 'no', 'vague': 'specific'}",no,specific,NYSE_DE_baseline.csv,Mistral-7B-Instruct-v0.2
"We also introduced several new products and upgrades that support our Construction Forestry customers in working smarter, safer, and more sustainably.
","{'scope3': 'no', 'vague': 'generic'}",no,generic,NYSE_DE_baseline.csv,Mistral-7B-Instruct-v0.2
"Our P Tier line of excavators, optimized for increased productivity, ef ciency, and reduced CO2e emissions, has been well received in the market.
","{'scope3': 'maybe', 'vague': 'generic'}",maybe,generic,NYSE_DE_baseline.csv,Mistral-7B-Instruct-v0.2
"We expanded our Operations Center to include the Wirtgen Group’s equipment, unlocking enhanced operational analysis, monitoring, and project planning opportunities for our roadbuilding customers.
","{'scope3': 'no', 'vague': 'generic'}",no,generic,NYSE_DE_baseline.csv,Mistral-7B-Instruct-v0.2
"Looking ahead, we are excited about our upcoming X Tier Loaders with E Drive technology, slated to deliver fuel savings, emission reductions, and productivity gains for our customers in 2024.
","{'scope3': 'yes', 'vague': 'generic'}",yes,generic,NYSE_DE_baseline.csv,Mistral-7B-Instruct-v0.2
"To support our Leap Ambition of reducing variability in our performance by achieving 10% recurring revenue by 2030, we are implementing a Solutions as a Service business model.
","{'scope3': 'no', 'vague': 'not ESG related'}",no,not ESG related,NYSE_DE_baseline.csv,Mistral-7B-Instruct-v0.2
