Rank,Company,Symbol,Industry,ESG Score,Comp Rtg,RS Rtg,EPS Rtg,SMR Rtg,3-Yr EPS Growth Rate,ROE,Last Qtr Sales % Chg,Last Qtr EPS % Chg,Div Yld
1,Worthington Industries,WOR,Metal-Processes/Fabrication,75.82,88,75,61,B,61,26,55,-32,2.4
2,J.B. Hunt Transport Services,JBHT,Transportation-Trucking,73.09,93,64,95,B,21,27,32,50,0.9
3,Verisk Analytics,VRSK,Commercial Services-Market Research,72.79,84,73,89,A,10,31,0,31,0.7
4,Texas Instruments,TXN,Electronics-Semiconductor Mfg,72.63,84,55,92,A,23,69,14,20,2.8
5,Apple,AAPL,Telecom-Consumer Products,72.36,89,75,84,A,34,147,2,-8,0.6
6,First Solar,FSLR,Energy-Solar,71.79,81,98,14,D,0,8,-1,-32,N.A.
7,ConocoPhillips,PSX,Oil & Gas-Refining/Marketing,71.72,96,89,80,B,N.A.,13,77,815,4.3
8,Stepan,SCL,Chemicals-Specialty,71.55,87,61,84,B,13,14,26,27,1.3
9,Merck,MRK,Medical-Ethical Drugs,70.98,92,86,93,A,11,48,28,43,3.2
10,Host Hotels & Resorts,HST,Finance-Property REIT,70.71,84,73,78,C,N.A.,0,113,500,2.7
11,Cheniere Energy,LNG,Oil & Gas-Transportation/Pipeline,70.64,88,97,41,N.A.,N.A.,0,165,323,0.8
12,MasterCard,MA,Finance-Credit Card/Payment Processing,70.61,86,62,94,A,8,122,21,31,0.6
13,Sempra,SRE,Utility-Diversified,69.84,86,92,56,B,40,11,29,21,2.8
14,Chevron,CVX,Oil & Gas Integrated,69.75,97,93,81,A,N.A.,12,83,240,3.6
15,Marathon Petroleum,MPC,Oil & Gas-Refining/Marketing,69.6,91,97,78,D,N.A.,-28,82,189,2.3
16,Exelon,EXC,Utility-Diversified,69.44,84,85,83,B,-2,8,5,22,3.1
17,Exponent,EXPO,Commercial Services-Consulting,69.29,81,61,82,A,11,23,9,2,1
18,Bunge,BG,Agricultural Operations,69.05,91,83,95,B,65,29,17,14,2.5
19,ConocoPhillips,COP,Oil & Gas-International Exploration & Products,69,97,96,81,A,N.A.,21,115,208,1.7
20,Air Products and Chemicals,APD,Chemicals-Specialty,68.9,91,73,85,A,6,16,22,13,2.6
21,Williams Cos.,WMB,Oil & Gas Integrated,68.33,94,90,96,A,19,14,9,48,5
22,Dominion Energy,D,Utility-Diversified,68.27,86,85,63,B,-1,12,18,1,3.3
23,Insperity,NSP,Commercial Services-Outsourcing,68.15,96,87,87,B,-1,727,21,27,1.9
24,Cabot,CBT,Chemicals-Specialty,67.89,99,91,82,A,20,35,25,28,2.1
25,Packaging Corp. of America,PKG,Paper & Paper Products,67.83,82,55,90,A,10,26,19,49,3.7
26,Arthur J. Gallagher,AJG,Insurance-Brokers,67.78,97,93,93,B,28,17,6,14,1.1
27,Cummins,CMI,Trucks & Parts-Heavy Duty,67.7,81,79,77,B,1,26,8,23,2.9
