text,vague,predicted_vague
"In FY22, NIKE and the Nike Foundation provided more than 4.6 million toward disaster response efforts.
",specific,specific
"In addition to the circular production processes being employed by TotalEnergies to decarbonize energy, the promotion of circular resource management requires responsible waste management. of priority, calls for: Reducing waste at the source, in particular by designing products that generate the least waste possible, and more broadly by minimizing the.
",generic,generic
"Foundational to our human rights approach is the United Nations Guiding Principles on Business and Human Rights (UNGPs).
",specific,specific
"In the U.S., McDonald’s continues to enhance its compensation packages for Company owned Restaurant Staff.
",notESG,notESG
"Meanwhile, Uber partnered with Bedford Park, an industrial employment center outside Chicago, to provide first last mile connections to transit and late night service across multiple transit agencies as part of the town’s Connect2Work transportation program .
",notESG,notESG
"CPPAs: New agreements to supply solar power March 2021: TotalEnergies signs CPPAs with that include construction of dozens of solar renewable power over 15 years in Belgium) power plants across France.
",ambiguous,ambiguous
"Our corporate social responsibility (CSR) efforts address the expectations of our people, consumers, communities, and investors, and help us to attract, retain, and develop talented and diverse creators, cast members, and employees, all of whom contribute to our business success.
",generic,generic
"Our investment in professional development remains a key component of our talent strategy.
",notESG,notESG
"Diagnosed with sickle cell disease (SCD) at a young age, Kevin was determined to not let his diagnosis define his life.
",notESG,notESG
"Performance based Pay is focused on motivating high performance, recognizing achievement and reinforcing behaviors that align with our culture.
",notESG,notESG
"We continued to engage with stakeholders in 2022, acting on our commitments to human rights throughout our System.
",generic,generic
"Learn more on our Contributing to the UN SDGs web page.
",notESG,notESG
"If concerns arise about a particular issue, we convey our concerns, as appropriate.
",notESG,notESG
"For purposes of this report, the selected topics are based on the Ipieca API IOGP Guidance and do not correspond to the concept of materiality used in securities laws and disclosures required by U.S. Securities and Exchange Commission rules.
",notESG,notESG
"The analysis involved in determining whether and how certain initiatives may contribute to the UNSDGs is inherently subjective and dependent on a number of factors.
",ambiguous,ambiguous
"The process included extensive engagement with internal and external stakeholders to understand their primary human rights concerns and their expectations of an industry leading program.
",ambiguous,ambiguous
"In T rkiye, we identified an operating facility located in a water stressed area as a priority facility (Leadership Location) in the city of Bursa in the north west of the country.
",specific,specific
"Our Diversity Recruitment team hosted resume writing workshops, interview preparation sessions and informational meetings to help our ecosystem of HBCUs to have multiple points of contact and access to NIKE opportunities throughout the year.
",notESG,notESG
"Note on Non Financial Reporting Non financial information is subject to measurement uncertainties resulting from limitations inherent in the nature of, and the methods used for determining, such data.
",ambiguous,ambiguous
"And the Company mobilized quickly to supply masks and hand sanitizer to our employees all over the world.
",notESG,notESG
"We are proud of the growth and opportunity that our partners have accomplished, and we continuously work to expand our relations with Indigenous communities throughout Canada.
",generic,generic
"From left: Joshua A. Jepsen, Jahmy J. Hindman, Deanna M. Kovar, Cory J. Reed, John C. May, Mary K.W.
",notESG,notESG
"Political Engagement Policy, and applicable laws and regulations.
",notESG,notESG
"In 2022, 55,171 restaurant food safety audits (announced and unannounced) were performed.
",specific,specific
"Growth doesn’t always equal promotion it also happens through new opportunities, new paths, and doing different things .
",notESG,notESG
"They’ve had some of the experiences I’m having now, so they are able to ask me questions that will help me grow as a leader.
",notESG,notESG
"Managers are committed to discussing colleague performance assessments twice annually, with the intent to encourage breakthrough goals and drive leadership in Pfizer values.
",notESG,notESG
"We also launched a new internal Well Being Hub to make it easy for teammates to find inspiration, events, resources and benefits to support their well being.
",notESG,notESG
"We installed 10 GW of renewable electricity capacity, increased our LNG sales to 42 Mt (99% of which sold to net zero coun tries), reduced the share of our sales from petroleum prod ucts to 44% of the total from 65% in 2015, lowered emissions from our operated facilities (Scope 1 2) by 20% from 2015 and reduced the carbon footprint of our products sold in Europe by 14% compared to 2015.
",specific,specific
"At NIKE, we have a long history of working toward shared sustainability targets across our supply chain.
",generic,generic
"Because of the time difference, after work is a good time to call family and friends in Vietnam.
",notESG,notESG
"One of my key responsibilities is to bring knowledge from working in the country to our global team.
",notESG,notESG
"We approach responsible sourcing holistically, understanding that our work impacts the livelihoods of people, the health of our shared planet and the well being of animals.
",generic,generic
"Signed an agreement to supply renewable electricity to.
",ambiguous,ambiguous
